backend,op,payload_size_bytes,repeat,total_time_ms,avg_time_ms,min_time_ms,max_time_ms,stdev_time_ms,avg_bandwidth_mbps
ENDPOINT,EXISTS,,10,23.166449999999998,2.8958062499999997,2.734568,3.169795,0.14867580629462604,
ENDPOINT,EVICT,,10,22.626745999999997,2.8283432499999996,2.740295,3.02339,0.10959865831784363,
ENDPOINT,GET,1000,10,24.565412,3.0706765,2.954185,3.283894,0.11473424325183587,0.3256611368862855
ENDPOINT,GET,10000,10,46.148341,5.768542625,5.490901,6.083414,0.1800502033719148,1.7335401071080756
ENDPOINT,GET,100000,10,122.755552,15.344444,14.734766,15.715855,0.3608839818065793,6.517016843360373
ENDPOINT,GET,1000000,10,796.4327039999998,99.55408799999998,95.053822,119.106816,8.111401268447569,10.044790928123415
ENDPOINT,GET,10000000,10,6993.886732,874.2358415,819.251869,988.636893,70.05997446099711,11.43856099841681
ENDPOINT,SET,1000,10,21.011013,2.626376625,2.528819,2.852152,0.10206734940635659,0.3807527033560924
ENDPOINT,SET,10000,10,40.253997,5.031749625,4.864513,5.187291,0.11720296112048843,1.987380284248543
ENDPOINT,SET,100000,10,93.392013,11.674001625,11.118703,12.38706,0.37316000725002574,8.566043008410151
ENDPOINT,SET,1000000,10,632.53558,79.0669475,76.468982,84.496562,3.325378210089493,12.647509883949928
ENDPOINT,SET,10000000,10,5453.418167000001,681.6772708750001,621.847117,716.867356,35.27962401349381,14.669698444197813
REDIS,EXISTS,,10,18.82671,2.35333875,2.259678,2.485426,0.07992794782400672,
REDIS,EVICT,,10,18.196618,2.27457725,2.185337,2.367853,0.07056403496065522,
REDIS,GET,1000,10,18.648825000000002,2.3311031250000003,2.253376,2.446832,0.06058080645937183,0.42898145057396375
REDIS,GET,10000,10,20.493702000000003,2.5617127500000003,2.316316,3.123034,0.2455554837103303,3.903638298244016
REDIS,GET,100000,10,42.076452,5.2595565,4.447527,6.379459,0.8844819359594469,19.01300993724471
REDIS,GET,1000000,10,99.653919,12.456739875,9.867613,16.926605,2.4955192979737233,80.27782630405132
REDIS,GET,10000000,10,639.432543,79.929067875,76.977014,89.644582,4.442278437144404,125.11092980139424
REDIS,SET,1000,10,17.990213999999998,2.2487767499999998,2.128525,2.411946,0.10131444674555133,0.4446862055115076
REDIS,SET,10000,10,19.827515,2.478439375,2.400486,2.584865,0.06734277542954092,4.0352005785899046
REDIS,SET,100000,20,674.3478040000001,37.4637668888889,3.243051,44.837368,15.662058714733002,2.402347854312876
REDIS,SET,1000000,10,435.769676,54.4712095,52.694297,56.615595,1.2428071900672522,18.358340289836963
REDIS,SET,10000000,10,1447.245935,180.905741875,138.534488,270.880435,39.30494028902504,55.27740521862305
